company_size,product_category,product_subcategory,NAICS,NAICS_description,brand_type,UPCs,Formulas,Units,5th Percentile,Mean,95th Percentile
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Branded,1389,1196,29188256,11001525.599999998,20963727.2,36287895.800000004
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Branded,3575,1959,838987221,200037408,431708160.3,789858025.5000001
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Branded,2130,824,1466884977,202536975.20000002,433825452.8,783124285.1999999
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Branded,7094,3979,2335060454,413575908.8,886497340.3,1609270206.5
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Private,0,0,0,0,0,0
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Private,847,476,147157989,48605312,104896929.2,191920582
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Private,0,0,0,0,0,0
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Private,847,476,147157989,48605312,104896929.2,191920582
Small Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,Branded,256,209,3019621,2876801.4,5879629.8,10542388.450000001
Medium Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,Branded,1615,894,100530136,102748314,223281595.8,409835972.99999994
Large Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,Branded,174,109,128728747,29984733.7,64512434.8,116796829.95000002
Total,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,Branded,2045,1212,232278504,135609849.10000002,293673660.40000004,537175191.4
Small Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,Private,0,0,0,0,0,0
Medium Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,Private,908,539,38513429,61947809,134618322.3,247093500.5
Large Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,Private,0,0,0,0,0,0
Total,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,Private,908,539,38513429,61947809,134618322.3,247093500.5
