company_size,product_category,product_subcategory,NAICS,NAICS_description,reformulation_activity,cost_type,5th Percentile,Mean,95th Percentile
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,3. Product reformulation/process modification,Per Formula Costs,59707.7,130794.99999999999,240030.29999999996
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,3. Product reformulation/process modification,Total Costs,68573953.61500001,151331543.25,278962668.305
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,3. Product reformulation/process modification,Per Formula Costs,25054.87992656059,55292.03794369644,101924.64908200734
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,4. Packaging assessment,Total Costs,131154.51,281540.7,526698.39
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,4. Packaging assessment,Per Formula Costs,283.7,609,1139.3
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,4. Packaging assessment,Total Costs,3963938.6210000003,8977394.99,16763837.978999998
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,4. Packaging assessment,Per Formula Costs,1992.7000000000003,4513,8427.3
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,4. Packaging assessment,Total Costs,1215232.734,2669533.2600000002,4874773.806
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,4. Packaging assessment,Per Formula Costs,4257.7,9353,17079.3
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,4. Packaging assessment,Total Costs,5310325.865,11928468.950000001,22165310.174999997
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,4. Packaging assessment,Per Formula Costs,1940.2348837209302,4358.307221542228,8098.544063647489
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,5. Packaging development,Total Costs,4669.2300000000005,11881.11,23831.565000000002
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,5. Packaging development,Per Formula Costs,10.100000000000001,25.7,51.550000000000004
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,5. Packaging development,Total Costs,1049020.4405,2371560.006,4420069.0600000005
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,5. Packaging development,Per Formula Costs,527.35,1192.2,2222
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,5. Packaging development,Total Costs,349154.286,767208.9600000001,1406649.6570000001
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,5. Packaging development,Per Formula Costs,1223.3,2688,4928.35
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,5. Packaging development,Total Costs,1402843.9565,3150650.0760000004,5850550.2820000015
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,5. Packaging development,Per Formula Costs,512.5573929008568,1151.1536842105263,2137.6167931456553
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,6. Product and package performance testing,Total Costs,1389627.5699999998,2201241.45,3362816.43
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,6. Product and package performance testing,Per Formula Costs,3005.8999999999996,4761.5,7274.1
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,6. Product and package performance testing,Total Costs,33637680.377000004,72186172.855,130871640.62300003
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,6. Product and package performance testing,Per Formula Costs,16909.9,36288.5,65790.1
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,6. Product and package performance testing,Total Costs,10287393.06,22869562.92,41797190.22
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,6. Product and package performance testing,Per Formula Costs,36043,80126,146441
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,6. Product and package performance testing,Total Costs,45314701.00700001,97256977.22500001,176031647.273
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,6. Product and package performance testing,Per Formula Costs,16556.641884944922,35534.8023255814,64316.720171358626
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,7. Production scale-up testing,Total Costs,726735.6,1539459,2849617.2
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,7. Production scale-up testing,Per Formula Costs,1572,3330,6164
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,7. Production scale-up testing,Total Costs,52921474.92,114054491.28,208735871.59
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,7. Production scale-up testing,Per Formula Costs,26604,57336,104933
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,7. Production scale-up testing,Total Costs,18377337.540000003,39062581.2,70854944.16000001
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,7. Production scale-up testing,Per Formula Costs,64387.00000000001,136860,248248.00000000003
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,7. Production scale-up testing,Total Costs,72025548.06,154656531.48000002,282440432.95
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,7. Production scale-up testing,Per Formula Costs,26315.98971848225,56506.88959608323,103195.3206854345
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,8. Recordkeeping,Total Costs,102168.3,235310.7,447044.10000000003
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,8. Recordkeeping,Per Formula Costs,221,509,967
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,8. Recordkeeping,Total Costs,42348717.47,91243990.87,166958063.13
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,8. Recordkeeping,Per Formula Costs,21289,45869,83931
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,8. Recordkeeping,Total Costs,15997220.16,34771006.08,63613838.760000005
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,8. Recordkeeping,Per Formula Costs,56048,121823.99999999999,222878
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,8. Recordkeeping,Total Costs,58448105.93000001,126250307.65,231018945.99
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,8. Recordkeeping,Per Formula Costs,21355.19681762546,46128.10159118727,84407.44112607099
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Analytical tests,Total Costs,0,0,0
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Analytical tests,Per Formula Costs,0,0,0
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Analytical tests,Total Costs,0,0,0
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Analytical tests,Per Formula Costs,0,0,0
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Analytical tests,Total Costs,0,0,0
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Analytical tests,Per Formula Costs,0,0,0
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Analytical tests,Total Costs,0,0,0
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Analytical tests,Per Formula Costs,0,0,0
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Consumer tests,Total Costs,0,0,0
Small Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Consumer tests,Per Formula Costs,0,0,0
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Consumer tests,Total Costs,9397818.7505,11905541.55,14709958.004
Medium Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Consumer tests,Per Formula Costs,4724.3499999999995,5985,7394.799999999999
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Consumer tests,Total Costs,4660509.012,7081327.284,8966355.132
Large Companies,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Consumer tests,Per Formula Costs,16328.6,24810.199999999997,31414.599999999995
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Consumer tests,Total Costs,14058327.7625,18986868.834000003,23676313.136
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,Consumer tests,Per Formula Costs,5136.494186046511,6937.236279069768,8650.619534883721
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,1. Determine response to regulation,Total Costs,1564607.1999999997,2322632,3420320.8000000003
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,1. Determine response to regulation,Per Formula Costs,1308.1999999999998,1942,2859.8
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,1. Determine response to regulation,Total Costs,8546850,20880125,40593885
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,1. Determine response to regulation,Per Formula Costs,3510,8575,16671
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,1. Determine response to regulation,Total Costs,5032168,11738704,22208448
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,1. Determine response to regulation,Per Formula Costs,6107,14246,26952
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,1. Determine response to regulation,Total Costs,15143625.2,34941461,66222653.8
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,1. Determine response to regulation,Per Formula Costs,3399.2424691358024,7843.201122334455,14864.793221099888
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,2. Project management,Total Costs,725972,1778452,3455244
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,2. Project management,Per Formula Costs,607,1487,2889
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,2. Project management,Total Costs,22662545,54789935,105907890
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,2. Project management,Per Formula Costs,9307,22501,43494
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,2. Project management,Total Costs,16152048,37075880,69572792
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,2. Project management,Per Formula Costs,19602,44995,84433
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,2. Project management,Total Costs,39540565,93644267,178935926
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,2. Project management,Per Formula Costs,8875.547699214367,21020.03748597082,40165.191021324354
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,3. Product reformulation/process modification,Total Costs,2620077.1999999997,5817344,10759574.799999999
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,3. Product reformulation/process modification,Per Formula Costs,2190.7,4864,8996.3
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,3. Product reformulation/process modification,Total Costs,41998149.50000001,92802720,171256715.50000003
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,3. Product reformulation/process modification,Per Formula Costs,17247.7,38112,70331.3
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,3. Product reformulation/process modification,Total Costs,34468496.8,75466040,138447903.2
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,3. Product reformulation/process modification,Per Formula Costs,41830.7,91585,168019.3
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,3. Product reformulation/process modification,Total Costs,79086723.50000001,174086104,320464193.50000006
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,3. Product reformulation/process modification,Per Formula Costs,17752.35095398429,39076.56655443322,71933.60123456792
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,4. Packaging assessment,Total Costs,339305.2,728364,1362602.8
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,4. Packaging assessment,Per Formula Costs,283.7,609,1139.3
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,4. Packaging assessment,Total Costs,4852224.5,10989155,20520475.5
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,4. Packaging assessment,Per Formula Costs,1992.7,4513,8427.3
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,4. Packaging assessment,Total Costs,3508344.8,7706872,14073343.2
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,4. Packaging assessment,Per Formula Costs,4257.7,9353,17079.3
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,4. Packaging assessment,Total Costs,8699874.5,19424391,35956421.5
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,4. Packaging assessment,Per Formula Costs,1952.8337822671156,4360.13265993266,8071.026150392817
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,5. Packaging development,Total Costs,12079.6,30737.2,61653.8
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,5. Packaging development,Per Formula Costs,10.1,25.7,51.550000000000004
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,5. Packaging development,Total Costs,1284097.25,2903007.0000000005,5410570
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,5. Packaging development,Per Formula Costs,527.35,1192.2,2222
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,5. Packaging development,Total Costs,1007999.2000000001,2214912,4060960.4000000004
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,5. Packaging development,Per Formula Costs,1223.3000000000002,2688,4928.35
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,5. Packaging development,Total Costs,2304176.0500000003,5148656.2,9533184.2
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,5. Packaging development,Per Formula Costs,517.2112345679013,1155.7028507295174,2139.884219977553
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,6. Product and package performance testing,Total Costs,3595056.3999999994,5694754,8699823.6
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,6. Product and package performance testing,Per Formula Costs,3005.8999999999996,4761.5,7274.0999999999995
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,6. Product and package performance testing,Total Costs,41175606.5,88362497.5,160198893.5
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,6. Product and package performance testing,Per Formula Costs,16909.9,36288.5,65790.1
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,6. Product and package performance testing,Total Costs,29674712,66023824,120667384
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,6. Product and package performance testing,Per Formula Costs,36013,80126,146441
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,6. Product and package performance testing,Total Costs,74445374.9,160081075.5,289566101.1
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,6. Product and package performance testing,Per Formula Costs,16710.5218630752,35932.90134680134,64998.0024915825
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,7. Production scale-up testing,Total Costs,1880112,3982680,7372144
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,7. Production scale-up testing,Per Formula Costs,1572,3330,6164
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,7. Production scale-up testing,Total Costs,64780740,139613160,255511855
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,7. Production scale-up testing,Per Formula Costs,26604,57336,104933
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,7. Production scale-up testing,Total Costs,53054888,112772640,204556352
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,7. Production scale-up testing,Per Formula Costs,64387,136860,248248
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,7. Production scale-up testing,Total Costs,119715740,256368480,467440351
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,7. Production scale-up testing,Per Formula Costs,26872.21997755331,57546.23569023569,104924.88237934904
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,8. Recordkeeping,Total Costs,264316,608764,1156532
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,8. Recordkeeping,Per Formula Costs,221,509,967
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,8. Recordkeeping,Total Costs,51838715,111691015,204371985
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,8. Recordkeeping,Per Formula Costs,21289,45869,83931
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,8. Recordkeeping,Total Costs,46183552,100382976,183651472
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,8. Recordkeeping,Per Formula Costs,56048,121824,222878
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,8. Recordkeeping,Total Costs,98286583,212682755,389179989
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,8. Recordkeeping,Per Formula Costs,22062.08372615039,47740.23681257015,87358.02222222222
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Analytical tests,Total Costs,0,0,0
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Analytical tests,Per Formula Costs,0,0,0
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Analytical tests,Total Costs,0,0,0
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Analytical tests,Per Formula Costs,0,0,0
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Analytical tests,Total Costs,0,0,0
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Analytical tests,Per Formula Costs,0,0,0
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Analytical tests,Total Costs,0,0,0
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Analytical tests,Per Formula Costs,0,0,0
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Consumer tests,Total Costs,0,0,0
Small Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Consumer tests,Per Formula Costs,0,0,0
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Consumer tests,Total Costs,11503792.249999998,14573475,18006338
Medium Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Consumer tests,Per Formula Costs,4724.3499999999995,5985,7394.799999999999
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Consumer tests,Total Costs,13454766.399999999,20443604.799999997,25885630.4
Large Companies,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Consumer tests,Per Formula Costs,16328.599999999999,24810.199999999997,31414.6
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Consumer tests,Total Costs,24958558.65,35017079.8,43891968.39999999
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,Consumer tests,Per Formula Costs,5602.370067340067,7860.175039281706,9852.293692480358
Small Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,1. Determine response to regulation,Total Costs,273413.8,405878,597698.2000000001
Small Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,1. Determine response to regulation,Per Formula Costs,1308.2,1942,2859.8
Medium Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,1. Determine response to regulation,Total Costs,5029830,12287975,23889543
Medium Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,1. Determine response to regulation,Per Formula Costs,3510,8575,16671
Large Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,1. Determine response to regulation,Total Costs,665663,1552814,2937768
Large Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,1. Determine response to regulation,Per Formula Costs,6107,14246,26952
Total,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,1. Determine response to regulation,Total Costs,5968906.8,14246667,27425009.2
Total,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,1. Determine response to regulation,Per Formula Costs,3408.8559680182752,8136.303255282695,15662.483837806967
Small Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,2. Project management,Total Costs,371811,932349,1845052
Small Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,2. Project management,Per Formula Costs,1779,4461,8828
Medium Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,2. Project management,Total Costs,21159678,51003336,98369718
Medium Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,2. Project management,Per Formula Costs,14766,35592,68646
Large Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,2. Project management,Total Costs,3377583,7755895,14557931
Large Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,2. Project management,Per Formula Costs,30987,71155,133559
Total,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,2. Project management,Total Costs,24909072,59691580,114772701
Total,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,2. Project management,Per Formula Costs,14225.626499143347,34089.99428897773,65546.94517418618
Small Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,3. Product reformulation/process modification,Total Costs,1167202.3,2611246,4840084.7
Small Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,3. Product reformulation/process modification,Per Formula Costs,5584.7,12494,23158.3
Medium Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,3. Product reformulation/process modification,Total Costs,35262834.1,77962365,143893691.9
Medium Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,3. Product reformulation/process modification,Per Formula Costs,24607.7,54405,100414.3
Large Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,3. Product reformulation/process modification,Total Costs,6508139.3,14256655,26163302.7
Large Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,3. Product reformulation/process modification,Per Formula Costs,59707.7,130795,240030.3
Total,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,3. Product reformulation/process modification,Total Costs,42938175.7,94830266,174897079.3
Total,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,3. Product reformulation/process modification,Per Formula Costs,24522.087778412337,54157.776127926896,99884.111536265
Small Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,4. Packaging assessment,Total Costs,59293.299999999996,127281,238113.69999999998
Small Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,4. Packaging assessment,Per Formula Costs,283.7,609,1139.3
Medium Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,4. Packaging assessment,Total Costs,2855539.1,6467129,12076320.899999999
Medium Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,4. Packaging assessment,Per Formula Costs,1992.7,4513,8427.3
Large Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,4. Packaging assessment,Total Costs,464089.3,1019477,1861643.7
Large Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,4. Packaging assessment,Per Formula Costs,4257.7,9353,17079.3
Total,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,4. Packaging assessment,Total Costs,3378921.7,7613887,14176078.299999999
Total,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,4. Packaging assessment,Per Formula Costs,1929.7097087378643,4348.307824100514,8095.989891490576
Small Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,5. Packaging development,Total Costs,2110.9,5371.3,10773.95
Small Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,5. Packaging development,Per Formula Costs,10.1,25.7,51.550000000000004
Medium Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,5. Packaging development,Total Costs,755692.55,1708422.6,3184126.0000000005
Medium Companies,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,5. Packaging development,Per Formula Costs,527.35,1192.2,2222.0000000000005
