NAICS,NAICS description,Size class,No. firms,No. establishments,No. employees,Total payroll,Total receipts
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",100 to 499,31,42,7188,236070,2342787
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",more than 500,22,80,20093,758368,8410634
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",total,148,221,29327,1083747,11572097
311412,Frozen Specialty Food Manufacturing,fewer than 20,187,187,1355,36431,316078
311412,Frozen Specialty Food Manufacturing,20 to 99,105,110,4836,157666,1279426
311412,Frozen Specialty Food Manufacturing,100 to 499,54,63,9756,331765,2588363
311412,Frozen Specialty Food Manufacturing,more than 500,43,103,38333,1459770,13003454
311412,Frozen Specialty Food Manufacturing,total,389,463,54280,1985632,17187321
311421,Fruit and Vegetable Canning,fewer than 20,354,354,1787,57434,488958
311421,Fruit and Vegetable Canning,20 to 99,116,119,5092,203914,1812304
311421,Fruit and Vegetable Canning,100 to 499,62,85,10454,468328,4797373
311421,Fruit and Vegetable Canning,more than 500,43,135,24949,1403883,16860975
311421,Fruit and Vegetable Canning,total,575,693,42282,2133559,23959610
311422,Specialty Canning,fewer than 20,63,63,340,9243,88968
311422,Specialty Canning,20 to 99,17,17,751,25557,202369
311422,Specialty Canning,100 to 499,12,13,1572,86207,756565
311422,Specialty Canning,more than 500,14,27,9978,546580,9186521
311422,Specialty Canning,total,106,120,12641,667587,10234423
311423,Dried and Dehydrated Food Manufacturing,fewer than 20,75,76,505,16980,130496
311423,Dried and Dehydrated Food Manufacturing,20 to 99,53,54,2582,107104,858291
311423,Dried and Dehydrated Food Manufacturing,100 to 499,18,30,3595,147148,2395523
311423,Dried and Dehydrated Food Manufacturing,more than 500,21,45,7328,308973,3120501
311423,Dried and Dehydrated Food Manufacturing,total,167,205,14010,580205,6504811
311511,Fluid Milk Manufacturing,fewer than 20,97,97,605,21370,260491
311511,Fluid Milk Manufacturing,20 to 99,65,68,2971,118213,1634300
311511,Fluid Milk Manufacturing,100 to 499,38,51,7256,365835,4451239
311511,Fluid Milk Manufacturing,more than 500,46,226,40877,2121325,30693339
311511,Fluid Milk Manufacturing,total,246,442,51709,2626743,37039369
311512,Creamery Butter Manufacturing,fewer than 20,16,16,0,0,0
311512,Creamery Butter Manufacturing,20 to 99,6,6,199,8008,232976
311512,Creamery Butter Manufacturing,100 to 499,1,1,0,0,0
311512,Creamery Butter Manufacturing,more than 500,7,15,1593,73801,2566741
311512,Creamery Butter Manufacturing,total,30,38,2008,90802,3035784
311513,Cheese Manufacturing,fewer than 20,212,212,1406,42476,689982
311513,Cheese Manufacturing,20 to 99,103,111,4623,169097,2622091
311513,Cheese Manufacturing,100 to 499,46,73,7846,348069,6277033
311513,Cheese Manufacturing,more than 500,29,150,31337,1509704,31489685
311513,Cheese Manufacturing,total,390,546,45212,2069346,41078791
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",fewer than 20,54,54,396,19428,342169
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",20 to 99,29,32,1290,70538,1069581
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",100 to 499,21,28,2888,155982,3529480
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",more than 500,29,76,10993,641987,14647723
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",total,133,190,15567,887935,19588953
311520,Ice Cream and Frozen Dessert Manufacturing,fewer than 20,255,257,1392,37842,318149
311520,Ice Cream and Frozen Dessert Manufacturing,20 to 99,47,52,1709,53060,336233
311520,Ice Cream and Frozen Dessert Manufacturing,100 to 499,23,25,2789,94062,796153
311520,Ice Cream and Frozen Dessert Manufacturing,more than 500,22,57,13284,617095,5761414
311520,Ice Cream and Frozen Dessert Manufacturing,total,347,391,19174,802059,7211949
311611,Animal (except Poultry) Slaughtering,fewer than 20,1172,1173,6340,138406,1913419
311611,Animal (except Poultry) Slaughtering,20 to 99,151,159,6413,208082,2397133
311611,Animal (except Poultry) Slaughtering,100 to 499,58,69,10841,393330,5331417
311611,Animal (except Poultry) Slaughtering,more than 500,46,112,130467,4456033,81125120
311611,Animal (except Poultry) Slaughtering,total,1427,1513,154061,5195851,90767089
311612,Meat Processed from Carcasses,fewer than 20,759,759,4376,120146,1143586
311612,Meat Processed from Carcasses,20 to 99,272,278,12182,449632,4615740
311612,Meat Processed from Carcasses,100 to 499,117,137,21142,852779,8542363
311612,Meat Processed from Carcasses,more than 500,54,175,65826,2375173,31398179
311612,Meat Processed from Carcasses,total,1202,1349,103526,3797730,45699868
311613,Rendering and Meat Byproduct Processing,fewer than 20,54,56,338,14663,192643
311613,Rendering and Meat Byproduct Processing,20 to 99,39,43,1321,71745,896186
311613,Rendering and Meat Byproduct Processing,100 to 499,8,23,1227,93306,825389
311613,Rendering and Meat Byproduct Processing,more than 500,13,92,5484,260547,3508455
311613,Rendering and Meat Byproduct Processing,total,114,214,8370,440261,5422673
311615,Poultry Processing,fewer than 20,143,143,795,24238,237607
311615,Poultry Processing,20 to 99,63,63,2763,88059,795090
311615,Poultry Processing,100 to 499,41,44,8456,250204,2427940
311615,Poultry Processing,more than 500,60,267,208507,5669635,53365273
311615,Poultry Processing,total,307,517,220521,6032136,56825910
311710,Seafood Product Preparation and Packaging,fewer than 20,283,285,1419,71624,515748
311710,Seafood Product Preparation and Packaging,20 to 99,140,144,6216,192156,1592144
311710,Seafood Product Preparation and Packaging,100 to 499,53,79,8842,381990,3078712
311710,Seafood Product Preparation and Packaging,more than 500,21,81,14511,550437,5066607
311710,Seafood Product Preparation and Packaging,total,497,589,30988,1196207,10253211
311811,Retail Bakeries,fewer than 20,5710,5733,30420,473810,1486050
311811,Retail Bakeries,20 to 99,662,757,20966,406045,1219438
311811,Retail Bakeries,100 to 499,34,77,3849,94425,353905
311811,Retail Bakeries,more than 500,17,28,1125,30441,125274
311811,Retail Bakeries,total,6423,6595,56360,1004721,3184667
311812,Commercial Bakeries,fewer than 20,1609,1610,9260,185841,700549
311812,Commercial Bakeries,20 to 99,482,506,19041,511086,2071261
311812,Commercial Bakeries,100 to 499,153,192,24749,913252,4141178
311812,Commercial Bakeries,more than 500,77,336,73244,3310240,21861243
311812,Commercial Bakeries,total,2321,2644,126294,4920419,28774231
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",fewer than 20,89,89,565,12982,85315
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",20 to 99,64,65,3040,102150,652376
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",100 to 499,29,32,5650,169161,978749
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",more than 500,23,46,11646,440734,3802595
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",total,205,232,20901,725027,5519035
311821,Cookie and Cracker Manufacturing,fewer than 20,204,204,1177,26668,125669
311821,Cookie and Cracker Manufacturing,20 to 99,58,58,2346,85750,429343
311821,Cookie and Cracker Manufacturing,100 to 499,27,30,4531,184316,1224797
311821,Cookie and Cracker Manufacturing,more than 500,20,58,22070,1064009,9925256
311821,Cookie and Cracker Manufacturing,total,309,350,30124,1360743,11705065
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",fewer than 20,211,211,1414,42799,268289
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",20 to 99,96,101,3763,142385,1089003
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",100 to 499,36,58,5367,247880,2328634
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",more than 500,32,69,12941,577274,7937348
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",total,375,439,23485,1010338,11623274
311830,Tortilla Manufacturing,fewer than 20,209,209,1276,24090,152090
311830,Tortilla Manufacturing,20 to 99,91,97,3665,92264,439141
311830,Tortilla Manufacturing,100 to 499,26,29,3563,117449,616275
311830,Tortilla Manufacturing,more than 500,8,23,7877,285955,1997667
311830,Tortilla Manufacturing,total,334,358,16381,519758,3205173
311911,Roasted Nuts and Peanut Butter Manufacturing,fewer than 20,109,109,658,22796,271976
311911,Roasted Nuts and Peanut Butter Manufacturing,20 to 99,57,58,2597,92016,1299275
311911,Roasted Nuts and Peanut Butter Manufacturing,100 to 499,25,31,4614,172359,3111563
311911,Roasted Nuts and Peanut Butter Manufacturing,more than 500,17,36,8102,382253,6122877
311911,Roasted Nuts and Peanut Butter Manufacturing,total,208,234,15971,669424,10805691
311919,Other Snack Food Manufacturing,fewer than 20,188,189,1139,29881,284345
311919,Other Snack Food Manufacturing,20 to 99,72,74,2796,86091,569461
311919,Other Snack Food Manufacturing,100 to 499,23,29,4166,183004,1565751
311919,Other Snack Food Manufacturing,more than 500,24,86,22658,963023,19333844
311919,Other Snack Food Manufacturing,total,307,378,30759,1261999,21753401
311920,Coffee and Tea Manufacturing,fewer than 20,307,307,1403,39554,340955
311920,Coffee and Tea Manufacturing,20 to 99,64,73,2404,106577,908719
311920,Coffee and Tea Manufacturing,100 to 499,25,35,3416,167913,2254955
311920,Coffee and Tea Manufacturing,more than 500,14,30,8862,515869,9379879
311920,Coffee and Tea Manufacturing,total,410,445,16085,829913,12884508
311930,Flavoring Syrup and Concentrate Manufacturing,fewer than 20,81,81,489,22450,200817
311930,Flavoring Syrup and Concentrate Manufacturing,20 to 99,31,33,1173,60706,423727
311930,Flavoring Syrup and Concentrate Manufacturing,100 to 499,13,14,0,0,0
311930,Flavoring Syrup and Concentrate Manufacturing,more than 500,13,25,3209,192909,0
311930,Flavoring Syrup and Concentrate Manufacturing,total,138,153,6633,424330,8540957
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",fewer than 20,196,196,896,38377,313789
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",20 to 99,63,67,2763,121218,964948
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",100 to 499,23,45,2912,127871,1529303
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",more than 500,21,40,7980,427961,7201437
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",total,303,348,14551,715427,10009477
311942,Spice and Extract Manufacturing,fewer than 20,203,204,1186,65619,505832
311942,Spice and Extract Manufacturing,20 to 99,71,75,3245,203754,1381907
311942,Spice and Extract Manufacturing,100 to 499,42,53,5874,351138,2239403
311942,Spice and Extract Manufacturing,more than 500,28,51,6796,391228,5116893
311942,Spice and Extract Manufacturing,total,344,383,17101,1011739,9244035
311991,Perishable Prepared Food Manufacturing,fewer than 20,395,395,2523,57926,545691
311991,Perishable Prepared Food Manufacturing,20 to 99,137,147,6077,173141,1115793
311991,Perishable Prepared Food Manufacturing,100 to 499,68,85,10949,332312,2421438
311991,Perishable Prepared Food Manufacturing,more than 500,40,69,20492,744017,6823172
311991,Perishable Prepared Food Manufacturing,total,640,696,40041,1307396,10906094
311999,All Other Miscellaneous Food Manufacturing,fewer than 20,375,375,2136,73554,646787
311999,All Other Miscellaneous Food Manufacturing,20 to 99,111,118,5040,189977,1965654
311999,All Other Miscellaneous Food Manufacturing,100 to 499,46,79,6467,317888,3203952
311999,All Other Miscellaneous Food Manufacturing,more than 500,35,69,12854,593992,6590219
311999,All Other Miscellaneous Food Manufacturing,total,567,641,26497,1175411,12406612
312111,Soft Drink Manufacturing,fewer than 20,122,122,715,31600,471874
312111,Soft Drink Manufacturing,20 to 99,48,48,2274,90708,1124469
312111,Soft Drink Manufacturing,100 to 499,36,38,4351,210745,2388221
312111,Soft Drink Manufacturing,more than 500,38,242,41298,2016441,37836720
312111,Soft Drink Manufacturing,total,244,450,48638,2349494,41821284
312112,Bottled Water Manufacturing,fewer than 20,173,174,824,29901,267286
312112,Bottled Water Manufacturing,20 to 99,22,24,806,34390,260322
312112,Bottled Water Manufacturing,100 to 499,13,28,1683,71272,887342
312112,Bottled Water Manufacturing,more than 500,11,82,6890,366335,4414140
312112,Bottled Water Manufacturing,total,219,308,10203,501898,5829090
312113,Ice Manufacturing,fewer than 20,278,278,1414,46407,174216
312113,Ice Manufacturing,20 to 99,27,29,672,26212,102753
312113,Ice Manufacturing,more than 500,5,136,2656,87676,429512
312113,Ice Manufacturing,total,310,443,4742,160295,706481
312120,Breweries,fewer than 20,668,668,2837,84825,514758
312120,Breweries,20 to 99,135,140,5638,181851,1037447
312120,Breweries,100 to 499,30,36,4236,222029,1846383
312120,Breweries,more than 500,10,36,15029,1020228,25270441
312120,Breweries,total,843,880,27740,1508933,28669029
312130,Wineries,fewer than 20,2112,2113,10514,326012,1646535
312130,Wineries,20 to 99,345,359,12016,469188,2453733
312130,Wineries,100 to 499,43,77,5929,350007,2041496
312130,Wineries,more than 500,19,82,9437,699216,9383215
312130,Wineries,total,2519,2631,37896,1844423,15524979
312140,Distilleries,fewer than 20,196,196,852,34461,315175
312140,Distilleries,20 to 99,17,17,568,25263,318742
312140,Distilleries,100 to 499,12,16,1740,118544,2107023
312140,Distilleries,more than 500,6,20,3760,237864,6398073
312140,Distilleries,total,231,249,6920,416132,9139013
424410,General Line Grocery Merchant Wholesalers,fewer than 20,1816,1825,7671,260214,5045170
424410,General Line Grocery Merchant Wholesalers,20 to 99,292,323,11058,470843,7816801
424410,General Line Grocery Merchant Wholesalers,100 to 499,90,124,13475,684688,21548765
424410,General Line Grocery Merchant Wholesalers,more than 500,73,560,103776,6066701,136393459
424410,General Line Grocery Merchant Wholesalers,total,2271,2832,135980,7482446,170804195
424420,Packaged Frozen Food Merchant Wholesalers,fewer than 20,2211,2227,10418,555927,15645490
